Area,BHK,Bathroom,Furnishing,Region,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
1100,2,2,Unfurnished,Alaknanda,Alaknanda,2,15000000,Ready_to_move,Resale,Apartment,12500
1200,2,2,Semi-Furnished,Alaknanda,Alaknanda,2,17500000,Ready_to_move,Resale,Apartment,12500
1400,2,2,Semi-Furnished,Alaknanda,Alaknanda,2,14000000,Ready_to_move,Resale,Apartment,12500
1320,3,2,Unfurnished,Alaknanda,Alaknanda,2,15600000,Ready_to_move,Resale,Apartment,12500
1100,2,2,Unfurnished,Alaknanda,Alaknanda,2,15000000,Ready_to_move,Resale,Apartment,12500
1200,2,2,Semi-Furnished,Alaknanda,Alaknanda,2,17500000,Ready_to_move,Resale,Apartment,12500
1400,2,2,Semi-Furnished,Alaknanda,Alaknanda,2,14000000,Ready_to_move,Resale,Apartment,12500
1320,3,2,Unfurnished,Alaknanda,Alaknanda,2,15600000,Ready_to_move,Resale,Apartment,12500
1400,3,3,Semi-Furnished,Alaknanda,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,11538
1400,3,3,Semi-Furnished,Alaknanda,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,11538
1440,3,3,Unfurnished,Alaknanda,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
1440,3,3,Unfurnished,Alaknanda,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
1500,3,3,Unfurnished,Alaknanda,Alaknanda,1,26500000,Ready_to_move,New_Property,Apartment,
1500,3,3,Unfurnished,Alaknanda,Alaknanda,1,26500000,Ready_to_move,New_Property,Apartment,
1400,3,2,Unfurnished,Alaknanda,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
1400,3,2,Unfurnished,Alaknanda,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
450,1,1,Semi-Furnished,Alaknanda,Alaknanda,1,3000000,Ready_to_move,Resale,Builder_Floor,12500
450,1,1,Semi-Furnished,Alaknanda,Alaknanda,1,3000000,Ready_to_move,Resale,Builder_Floor,12500
700,2,2,Unfurnished,Alaknanda,Alaknanda,,16500000,Ready_to_move,Resale,Apartment,
700,2,2,Unfurnished,Alaknanda,Alaknanda,,16500000,Ready_to_move,Resale,Apartment,
1800,3,3,Furnished,Alaknanda,"Aravali Apartments, Alaknanda",2,20000000,Ready_to_move,New_Property,Apartment,
1800,3,3,Furnished,Alaknanda,"Aravali Apartments, Alaknanda",2,20000000,Ready_to_move,New_Property,Apartment,
968.751,2,2,Semi-Furnished,Alaknanda,"Aravali Apartments, Alaknanda",2,15000000,Ready_to_move,Resale,Apartment,
968.751,2,2,Semi-Furnished,Alaknanda,"Aravali Apartments, Alaknanda",2,15000000,Ready_to_move,Resale,Apartment,
1600,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,20000000,Ready_to_move,Resale,Apartment,12500
1600,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,20000000,Ready_to_move,Resale,Apartment,12500
1350,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,21000000,Ready_to_move,Resale,Apartment,
1250,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,20000000,Ready_to_move,New_Property,Apartment,
1000,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,19500000,Ready_to_move,Resale,Apartment,
1350,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,21000000,Ready_to_move,Resale,Apartment,
1250,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,20000000,Ready_to_move,New_Property,Apartment,
1000,3,3,Semi-Furnished,Alaknanda,"Narmada Apartment, Alaknanda",2,19500000,Ready_to_move,Resale,Apartment,
1150,2,2,Unfurnished,Alaknanda,"Narmada Apartment, Alaknanda",1,16500000,Ready_to_move,Resale,Apartment,12500
1150,2,2,Unfurnished,Alaknanda,"Narmada Apartment, Alaknanda",1,16500000,Ready_to_move,Resale,Apartment,12500
1400,3,3,Furnished,Alaknanda,"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,18000000,Ready_to_move,Resale,Apartment,12500
1400,3,3,Furnished,Alaknanda,"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,18000000,Ready_to_move,Resale,Apartment,12500
1200,2,2,Unfurnished,Alaknanda,"Nilgiri Apartment, Alaknanda",1,14300000,Ready_to_move,Resale,Apartment,11538
1300,3,2,Unfurnished,Alaknanda,"Nilgiri Apartment, Alaknanda",1,18500000,Ready_to_move,Resale,Apartment,11538
1200,2,2,Unfurnished,Alaknanda,"Nilgiri Apartment, Alaknanda",1,14300000,Ready_to_move,Resale,Apartment,11538
1300,3,2,Unfurnished,Alaknanda,"Nilgiri Apartment, Alaknanda",1,18500000,Ready_to_move,Resale,Apartment,11538
1400,2,2,Unfurnished,Alaknanda,"Nilgiri Apartment, Alaknanda",1,16500000,Ready_to_move,Resale,Apartment,12500
1400,2,2,Unfurnished,Alaknanda,"Nilgiri Apartment, Alaknanda",1,16500000,Ready_to_move,Resale,Apartment,12500
1500,3,3,Semi-Furnished,Alaknanda,"Project Gangotri Enclave, Alaknanda",2,21000000,Ready_to_move,Resale,Apartment,12500
1500,3,3,Semi-Furnished,Alaknanda,"Project Gangotri Enclave, Alaknanda",2,21000000,Ready_to_move,Resale,Apartment,12500
1300,3,3,Unfurnished,Alaknanda,"Project Gangotri Enclave, Gangotri Enclave, Alaknanda",2,19000000,Ready_to_move,Resale,Apartment,12500
1300,3,3,Unfurnished,Alaknanda,"Project Gangotri Enclave, Gangotri Enclave, Alaknanda",2,19000000,Ready_to_move,Resale,Apartment,12500
980,2,2,Semi-Furnished,Alaknanda,"Shivalik Apartments, Alaknanda",2,13800000,Ready_to_move,Resale,Apartment,
1400,3,2,Semi-Furnished,Alaknanda,"Shivalik Apartments, Alaknanda",2,26000000,Ready_to_move,Resale,Builder_Floor,
980,2,2,Semi-Furnished,Alaknanda,"Shivalik Apartments, Alaknanda",2,13800000,Ready_to_move,Resale,Apartment,
1400,3,2,Semi-Furnished,Alaknanda,"Shivalik Apartments, Alaknanda",2,26000000,Ready_to_move,Resale,Builder_Floor,
1800,4,2,Semi-Furnished,Alaknanda,"Tara Apartment, Alaknanda",1,21500000,Ready_to_move,Resale,Apartment,
1800,4,2,Semi-Furnished,Alaknanda,"Tara Apartment, Alaknanda",1,21500000,Ready_to_move,Resale,Apartment,
1400,3,3,Furnished,Alaknanda,"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,19000000,Ready_to_move,Resale,Apartment,11538
1400,3,3,Furnished,Alaknanda,"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,19000000,Ready_to_move,Resale,Apartment,11538
1300,2,2,Semi-Furnished,Alaknanda,"Yamuna Apartment, Alaknanda",1,15000000,Ready_to_move,Resale,Apartment,11538
1300,2,2,Semi-Furnished,Alaknanda,"Yamuna Apartment, Alaknanda",1,15000000,Ready_to_move,Resale,Apartment,11538
825,3,2,Semi-Furnished,Chhattarpur,"Aravali Tower, Chhattarpur",1,5990000,Ready_to_move,New_Property,Builder_Floor,4138
1500,3,3,Unfurnished,Chhattarpur,Chhattarpur,4,6000000,Ready_to_move,Resale,Builder_Floor,
765,2,2,Unfurnished,Chhattarpur,Chhattarpur,4,2500000,Ready_to_move,New_Property,Builder_Floor,4138
810,2,2,Unfurnished,Chhattarpur,Chhattarpur,4,4500000,Ready_to_move,Resale,Apartment,
1800,3,4,Semi-Furnished,Chhattarpur,Chhattarpur,2,63000000,Almost_ready,New_Property,Apartment,
950,3,2,Semi-Furnished,Chhattarpur,Chhattarpur,2,6990000,Almost_ready,New_Property,Builder_Floor,
1500,3,3,Semi-Furnished,Chhattarpur,Chhattarpur,1,7000000,Ready_to_move,New_Property,Builder_Floor,4138
1300,3,3,Semi-Furnished,Chhattarpur,Chhattarpur,1,4400000,Ready_to_move,New_Property,Builder_Floor,4138
725,2,2,Furnished,Chhattarpur,Chhattarpur,1,3000000,Ready_to_move,Resale,Apartment,4138
900,3,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,4900000,Ready_to_move,New_Property,Builder_Floor,4138
750,2,2,Unfurnished,Chhattarpur,Chhattarpur,1,3500000,Ready_to_move,New_Property,Builder_Floor,4138
950,3,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,7020000,Almost_ready,New_Property,Builder_Floor,4138
900,2,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,3500000,Ready_to_move,New_Property,Builder_Floor,4138
800,2,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,4400000,Ready_to_move,New_Property,Apartment,
800,2,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,3000000,Ready_to_move,New_Property,Builder_Floor,
675,2,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,2800000,Ready_to_move,New_Property,Builder_Floor,
650,2,2,Semi-Furnished,Chhattarpur,Chhattarpur,1,2500000,Ready_to_move,Resale,Builder_Floor,
950,3,2,Semi-Furnished,Chhattarpur,Chhattarpur,,7090000,Almost_ready,New_Property,Builder_Floor,
3600,2,2,Semi-Furnished,Chhattarpur,"Chhattarpur carpet area 400 sqyrd status Ready to Move transaction New Property furnishing Semi-Furnished car parking 1 Covered, 1 Open bathroom 2 balcony 1 Newly Constructed Property It's a Ground floor Builder Floor Apartment in a building of total 4 floors. The Builder Floor Apartment is newly constructed. Prime facilities are easily accessible from this place with Oxford Angel Public School (0 km ). Other key neighbourhood are Abdul Gaffar Khan Market (0 km ). read more Contact Agent View Phone No. Share Feedback Home Hunt Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 4 Property Options in Chhattarpur CRISIL Rating Operating Since 2011 No of employees 5 Home Hunt Certified Agent Locality Superstar Chhattarpur 500+ Buyers Served",1,4500000,Ready_to_move,New_Property,Builder_Floor,
500,2,1,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,2,7000000,Ready_to_move,Resale,Apartment,4138
1800,4,4,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,1,12500000,Ready_to_move,Resale,Builder_Floor,
1800,4,4,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,1,8500000,Ready_to_move,New_Property,Builder_Floor,
1035,3,3,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,1,4500000,Ready_to_move,New_Property,Builder_Floor,4138
1750,3,3,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,1,6500000,Ready_to_move,New_Property,Builder_Floor,4138
700,2,2,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,1,3000000,Ready_to_move,New_Property,Builder_Floor,4138
630,2,2,Unfurnished,Chhattarpur,Chhattarpur Enclave Phase2,1,2800000,Ready_to_move,Resale,Apartment,
580,1,1,Semi-Furnished,Chhattarpur,Chhattarpur Enclave Phase2,1,1600000,Ready_to_move,New_Property,Builder_Floor,4138
1600,3,4,Unfurnished,Chhattarpur,"DLF Chattarpur Farms, Chhattarpur",1,60000000,Almost_ready,New_Property,Apartment,4138
